"ID","manufacturer","model","model_name","year","body_style","power","ccm","cylinders","steering","transmission","drive","fuel","condition","price"
246077,"Toyota","Land Cruiser","Land Cruiser FJ 45",1978,"Pick-up",71,3576,6,"Left (LHD)","Manual","4WD","Diesel","Original",69500
246076,"Porsche","Cayenne","Cayenne S",2004,"4x4",250,4511,8,"Left (LHD)","Manual","4WD","Petrol","Original",15950
246118,"Ferrari","365","365 GTC/4",1972,"Coupe",250,4390,12,"Left (LHD)","Manual","Rear","Petrol","Original",289950
246126,"BMW","02 Series","2002 turbo",1974,"Saloon",125,1990,4,"Left (LHD)","Manual","Rear","Petrol","Original",119950
246125,"Alvis","Speed","Speed 20",1936,"Saloon",85,3571,4,"Right (RHD)","Manual","Rear","Petrol","Original",75753
246132,"Mercedes-Benz","SL-Class","SL 500",1994,"Convertible",235,4973,8,"Right (RHD)","Manual","Rear","Petrol","Original",21561
246127,"Austin-Healey","100","100/6 (BN4)",1957,"Convertible",75,2639,6,"Right (RHD)","Manual","Rear","Petrol","Original",85077
246121,"Rolls-Royce","Silver Spirit","Silver Dawn",1996,"Saloon",195,6745,8,"Right (RHD)","Automatic","Rear","Petrol","Original",39625
246129,"Ferrari","575","575 Maranello F1",2003,"Coupe",379,5748,12,"Right (RHD)","Semi-Automatic","Rear","Petrol","Original",99062
233167,"Jaguar","Mk IX","Mk IX",1960,"Saloon",162,3781,6,"Left (LHD)","Automatic","Rear","Petrol","Original",15000
245015,"Volkswagen","Karmann Ghia","Karmann Ghia 1500",1970,"Coupe",32,1493,4,"Left (LHD)","Manual","Rear","Petrol","Original",36950
245022,"Volkswagen","Golf","Golf Mk I 1.1",1983,"Saloon",38,1096,4,"Left (LHD)","Manual","Front","Petrol","Original",5900
245016,"BMW","Z4","Z4 sDrive23i",2009,"Convertible",150,2497,6,"Left (LHD)","Manual","Rear","Petrol","Original",22900
245014,"Volkswagen","Beetle","Beetle 1.2 TSI",2013,"Convertible",77,1197,4,"Left (LHD)","Manual","Front","Petrol","Original",19900
244999,"BMW","Z4","Z4 3.0i",2003,"Convertible",171,2979,6,"Left (LHD)","Automatic","Rear","Petrol","Original",15900
244987,"FIAT","500","500 C",2009,"Convertible",74,1368,4,"Left (LHD)","Manual","Front","Petrol","Original",8900
225467,"Volkswagen","Transporter","T2a panel van",1977,"Bus",35,1584,4,"Left (LHD)","Manual","Rear","Petrol","Original",29500
246059,"Mercedes-Benz","280","280 SE 3,5",1970,"Convertible",147,3499,8,"Left (LHD)","Automatic","Rear","Petrol","Part-Restored",126500
246027,"Lancia","Fulvia","Fulvia Sport 1.3 S (Zagato)",1968,"Coupe",66,1300,4,"Left (LHD)","Manual","Front","Petrol","Original",31830
245961,"FIAT","500","500 C Topolino",1953,"Convertible",12,569,4,"Left (LHD)","Manual","Rear","Petrol","Original",19085
183562,"Mercedes-Benz","SL-Class","300 SL",1987,"Convertible",132,2962,6,"Right (RHD)","Automatic","Rear","Petrol","Original",46329
208798,"Mercedes-Benz","SL-Class","280 SL",1983,"Convertible",136,2746,6,"Right (RHD)","Manual","Rear","Petrol","Original",66572
183535,"Mercedes-Benz","SL-Class","300 SL",1989,"Convertible",132,2962,6,"Right (RHD)","Automatic","Rear","Petrol","Original",41122
183569,"Mercedes-Benz","SL-Class","230 SL",1964,"Convertible",110,2306,6,"Right (RHD)","Automatic","Rear","Petrol","Original",134416
183612,"Mercedes-Benz","SL-Class","300 SL",1986,"Convertible",132,2962,6,"Right (RHD)","Automatic","Rear","Petrol","Original",44012
183565,"Mercedes-Benz","SL-Class","300 SL",1987,"Convertible",132,2962,6,"Right (RHD)","Automatic","Rear","Petrol","Original",52121
245989,"Aston Martin","DB 6","DB 6 Vantage",1966,"Coupe",239,3995,6,"Right (RHD)","Manual","Rear","Petrol","Restored",403487
245922,"Mercedes-Benz","Leichte Klasse","814 F",1994,"Utility Vehicle",97,5958,6,"Left (LHD)","Manual","Rear","Diesel","Original",11781
245971,"Jaguar","XK-SS","XK-SS",1957,"Convertible",174,3442,6,"Left (LHD)","Manual","Rear","Petrol","Restored",169150
245963,"Mercedes-Benz","SL-Class","280 SL",1970,"Convertible",125,2778,6,"Left (LHD)","Automatic","Rear","Petrol","Original",169000
242650,"Buick","Sport Wagon","Sport Wagon",1968,"Estate",169,5700,8,"Left (LHD)","Automatic","Rear","Petrol","Original",32950
242647,"Ford","V8","V8",1936,"Convertible",63,3600,8,"Left (LHD)","Manual","Rear","Petrol","Original",69950
244613,"Mercedes-Benz","SEC","500 SEC",1982,"Coupe",170,4973,8,"Left (LHD)","Automatic","Rear","Petrol","Authentic",28500
244602,"Mercedes-Benz","fintail","220 SE b",1965,"Saloon",88,2195,6,"Left (LHD)","Manual","Rear","Petrol","Authentic",29500
244553,"Porsche","911","911 Turbo",1996,"Coupe",386,3600,6,"Left (LHD)","Manual","4WD","Petrol","Part-Restored",149900
242655,"Porsche","911","911 2.7",1977,"Convertible",152,3164,6,"Left (LHD)","Manual","Rear","Petrol","Conversion/ Special",31750
240572,"AMC","AMX","AMX",1969,"Coupe",235,6400,8,"Left (LHD)","Manual","Rear","Petrol","Original",32500
241525,"Mercedes-Benz","NG","1222 AF",1989,"Utility Vehicle",159,10000,6,"Left (LHD)","Manual","4WD","Diesel","Original",23900
245895,"Porsche","911","911 2.0 S",1967,"Convertible",118,1991,6,"Left (LHD)","Manual","Rear","Petrol","Restoration project",240000
245879,"BMW","Z1","Z1",1990,"Convertible",125,2494,6,"Left (LHD)","Manual","Rear","Petrol","Original",75750
245857,"Porsche","911","911 Carrera 3.2",1989,"Convertible",160,3164,6,"Left (LHD)","Manual","Rear","Petrol","Original",78633
245815,"Facel Vega","Facel II","Facel II",1962,"Coupe",261,6286,8,"Left (LHD)","Automatic","Rear","Petrol","Authentic",259000
245793,"Porsche","911","911 2.0",1966,"Coupe",96,1991,6,"Left (LHD)","Manual","Rear","Petrol","Original",129911
245789,"Ford","Mustang","Mustang 302",1973,"Convertible",258,4942,8,"Left (LHD)","Automatic","Rear","Petrol","Restored",36000
243018,"Mercedes-Benz","S-Class","560 SE",1989,"Saloon",205,5547,8,"Left (LHD)","Automatic","Rear","Petrol","Original",26000
245572,"Jaguar","Mk VII","Mk VII",1953,"Saloon",118,3442,6,"Left (LHD)","Manual","Rear","Petrol","Restored",51000
245515,"FIAT","1600","1600 S Coupe",1963,"Coupe",66,1598,4,"Left (LHD)","Manual","Rear","Petrol","Original",58000
